char,pinyin,count
忽,hu1,38
亏,kui1,38
匠,jiang5,38
割,ge1,38
溶,rong2,38
惨,can3,38
综,zong1,38
晕,yun1,38
奋,fen4,38
尸,shi1,38
宋,song4,38
览,lan3,38
催,cui1,38
柔,rou2,38
烦,"fan2,fan5",38
阁,ge2,38
凭,ping2,38
酌,zhuo2,38
衰,shuai1,38
扰,rao3,38
焦,jiao1,38
夷,yi2,37
叉,cha1,37
距,ju4,37
绳,sheng2,37
串,chuan4,37
芝,zhi1,37
旦,dan4,37
脏,"zang1,zang4",37
贷,dai4,37
棋,qi2,37
援,yuan2,37
抚,fu3,37
喝,he1,37
寸,cun4,37
塘,tang2,37
措,cuo4,37
般,ban1,37
胺,an4,37
赶,gan3,37
宇,yu3,37
卵,luan3,37
矮,ai3,37
澳,ao4,37
靠,kao4,37
泄,xie4,37
轨,gui3,37
纲,gang1,37
椒,jiao1,37
卑,bei1,37
稀,xi1,37
刊,kan1,37
靖,jing4,37
坛,tan2,37
骂,ma4,37
每,mei3,37
凌,ling2,37
筒,tong3,36
幼,you4,36
址,zhi3,36
勇,yong3,36
映,ying4,36
概,gai4,36
蜡,la4,36
碑,bei1,36
盲,mang2,36
穆,mu4,36
爷,"ye2,ye5",36
挤,ji3,36
穴,xue2,36
键,jian4,36
截,jie2,36
滚,gun3,36
悔,hui3,36
疫,yi4,36
昆,kun1,36
薪,xin1,36
竞,jing4,36
浑,hun2,36
挡,dang3,36
龟,gui1,36
惹,re3,36
煤,mei2,36
页,ye4,36
郁,yu4,36
柜,gui4,36
妹,mei4,36
毁,hui3,36
刷,shua1,36
驱,qu1,36
桌,zhuo1,36
舒,shu1,36
葬,zang4,36
伙,huo3,36
浩,hao4,35
凸,tu1,35
敏,min3,35
敦,dun1,35
翰,han4,35
玄,xuan2,35
赏,shang3,35
较,jiao4,35
铃,ling2,35
弓,gong1,35
献,xian4,35
午,wu3,35
贯,guan4,35
炭,tan4,35
役,yi4,35
册,ce4,35
辐,fu2,35
屁,pi4,35
淋,lin2,35
猴,hou2,35
况,kuang4,35
担,dan1,35
劝,quan4,34
翁,weng1,34
耗,hao4,34
耕,geng1,34
彼,bi3,34
硫,liu2,34
鸭,ya1,34
鸿,hong2,34
兼,jian1,34
涉,she4,34
抢,qiang3,34
仿,fang3,34
返,fan3,34
唇,chun2,34
鹰,ying1,34
辽,liao2,34
促,cu4,34
虑,lu:4,34
陀,tuo2,34
笼,long2,34
巾,jin1,34
丈,zhang4,34
蒸,zheng1,33
著,zhu4,33
萝,luo2,33
捐,juan1,33
夕,xi1,33
漂,piao1,33
芳,fang1,33
臂,bi4,33
斥,chi4,33
碍,ai4,33
肯,ken3,33
肩,jian1,33
龄,ling2,33
坝,ba4,33
抛,pao1,33
抹,"mo4,mo3",33
袖,xiu4,33
誉,yu4,33
扩,kuo4,33
诊,zhen3,33
诈,zha4,33
狐,hu2,33
崩,beng1,33
悟,wu4,33
仗,zhang4,33
忌,ji4,33
逸,yi4,33
酶,mei2,33
寨,zhai4,33
忙,mang2,33
阅,yue4,33
侵,qin1,33
遍,bian4,33
拘,ju1,33
鉴,jian4,33
炒,chao3,33
赵,zhao4,33
窃,qie4,33
栗,li4,33
择,ze2,32
妄,wang4,32
妈,ma1,32
枕,zhen3,32
幻,huan4,32
曾,"zeng1,ceng2",32
惯,guan4,32
翅,chi4,32
彝,yi2,32
努,nu3,32
愚,yu2,32
敲,qiao1,32
舟,zhou1,32
廉,lian2,32
稿,gao3,32
冗,rong3,32
棕,zong1,32
阔,kuo4,32
眠,mian2,32
胃,wei4,32
浓,nong2,32
砚,yan4,32
裸,luo3,32
霜,shuang1,32
蚕,can2,32
扁,bian3,32
骑,qi2,32
娜,na4,32
叙,xu4,32
帖,tie3,31
署,shu3,31
辈,bei4,31
舱,cang1,31
艳,yan4,31
旺,wang4,31
贾,jia3,31
肝,gan1,31
俱,ju4,31
鹅,e2,31
甚,shen4,31
凄,qi1,31
柯,ke1,31
姐,"jie3,jie5",31
翘,qiao2,31
冻,dong4,31
咬,yao3,31
恭,gong1,31
喇,la3,31
迟,chi2,31
沿,yan2,31
巢,chao2,31
酮,tong2,31
漠,mo4,31
祥,xiang2,31
娇,jiao1,31
框,kuang4,31
沾,zhan1,31
拆,chai1,31
伐,fa2,30
拱,gong3,30
拾,shi2,30
叔,"shu1,shu5",30
伪,wei3,30
葛,ge3,30
莎,sha1,30
闷,men4,30
壶,hu2,30
庙,miao4,30
埔,pu3,30
牢,lao2,30
艇,ting3,30
攘,rang3,30
棍,gun4,30
抄,chao1,30
羞,xiu1,30
唯,wei2,30
辅,fu3,30
幽,you1,30
宏,hong2,30
痴,chi1,30
蒲,pu2,30
涤,di2,30
盈,ying2,30
驳,bo2,30
黏,nian2,30
烤,kao3,30
甸,dian4,30
循,xun2,30
迈,mai4,30
妖,yao1,30
熏,xun1,30
坊,fang1,30
愤,fen4,30
茫,mang2,30
遐,xia2,30
巡,xun2,30
颈,jing3,30
夸,kua1,30
御,yu4,30
湘,xiang1,30
拙,zhuo1,30
噶,ga2,30
祭,ji4,30
锯,ju4,30
蠹,du4,30
押,ya1,30
栏,lan2,30
傻,sha3,30
披,pi1,29
糕,gao1,29
蜜,mi4,29
坪,ping2,29
纷,fen1,29
垒,lei3,29
伽,jia1,29
罚,fa2,29
碰,peng4,29
剖,pou1,29
肃,su4,29
袭,xi2,29
辉,hui1,29
徽,hui1,29
梨,li2,29
谐,xie2,29
渔,yu2,29
拐,guai3,29
兜,dou1,29
仔,zai3,29
匹,pi3,29
仑,lun2,29
啦,la1,29
绥,sui2,29
辰,chen2,29
屠,tu2,29
彻,che4,29
儒,ru2,29
葡,pu2,29
沁,qin4,29
咖,ka1,29
韦,wei2,29
酬,chou2,29
醋,cu4,29
砖,zhuan1,29
曹,cao2,29
祝,zhu4,29
泊,bo2,29
妻,qi1,29
揭,jie1,29
辑,ji5,29
丢,diu1,28
卓,zhuo2,28
咽,yan1,28
朋,peng2,28
搜,sou1,28
皆,jie1,28
昭,zhao1,28
敢,gan3,28
填,tian2,28
彭,peng2,28
缠,chan2,28
呆,dai1,28
估,gu1,28
奈,nai4,28
懂,dong3,28
哄,"hong1,hong4",28
箍,gu1,28
跨,kua4,28
且,qie3,28
慕,mu4,28
欠,qian4,28
悠,"you1,you5",28
誓,shi4,28
痒,yang3,28
孕,yun4,28
欺,qi1,28
魏,wei4,28
享,xiang3,28
骗,pian4,28
叛,pan4,28
括,kuo4,28
宴,yan4,28
鞭,bian1,28
醒,xing3,28
哑,ya3,28
滥,lan4,28
郡,jun4,28
衍,yan3,28
聘,pin4,28
攀,pan1,28
诞,dan4,28
狱,yu4,28
卤,lu3,28
藤,teng2,27
凹,"ao1,wa1",27
歪,wai1,27
朴,pu3,27
绪,xu4,27
埋,mai2,27
旷,kuang4,27
懒,lan3,27
爵,jue2,27
耻,chi3,27
琼,qiong2,27
庸,yong1,27
硅,gui1,27
详,xiang2,27
涨,zhang3,27
搬,ban1,27
瘤,liu2,27
嫌,xian2,27
厉,li4,27
啡,fei1,27
伟,wei3,27
亨,heng1,27
轰,hong1,27
辱,ru3,27
禅,chan2,27
矩,ju3,27
蚀,shi2,27
涅,nie4,27
泳,yong3,27
钦,qin1,27
尤,you2,27
愧,kui4,27
虾,xia1,27
妥,tuo3,26
喉,hou2,26
纱,sha1,26
萧,xiao1,26
茂,mao4,26
妆,zhuang1,26
茄,"jia1,qie2",26
唧,ji1,26
另,ling4,26
斋,zhai1,26
丸,wan2,26
耍,shua3,26
搞,gao3,26
愁,chou2,26
畏,wei4,26
渠,qu2,26
桐,tong2,26
滤,lu:4,26
陪,pei2,26
髓,sui3,26
轧,ya4,26
柄,bing3,26
孩,hai2,26
爬,pa2,26
趋,qu1,26
爪,"zhao3,zhua3",26
俸,feng4,26
骚,sao1,26
躲,duo3,26
幅,fu2,26
烯,xi1,26
豹,bao4,26
召,zhao4,26
沧,cang1,26
裕,yu4,26
钠,na4,26
姿,zi1,26
逢,feng2,26
畜,chu4,26
蟹,xie4,26
驻,zhu4,26
玻,bo1,26
姓,xing4,26
抑,yi4,26
拓,tuo4,26
椎,zhui1,25
蓄,xu4,25
杠,gang4,25
菊,ju2,25
匪,fei3,25
跃,yue4,25
宅,zhai2,25
耀,yao4,25
芜,wu2,25
肇,zhao4,25
旬,xun2,25
赴,fu4,25
犁,li2,25
罕,han3,25
挖,wa1,25
你,ni3,25
傲,ao4,25
矫,jiao3,25
碗,wan3,25
枯,ku1,25
诱,you4,25
畅,chang4,25
篇,pian1,25
又,you4,25
逗,dou4,25
郭,guo1,25
鄙,bi3,25
屎,shi3,25
滩,tan1,25
滞,zhi4,25
需,xu1,25
邑,yi4,25
郑,zheng4,25
嘎,"ga2,ga1",25
戳,chuo1,25
踪,zong1,25
叠,die2,25
履,lu:3,25
煞,sha1,24
簿,bu4,24
萄,tao5,24
伸,shen1,24
莉,li4,24
刮,gua1,24
荆,jing1,24
罐,guan4,24
削,"xue1,xiao1",24
剥,bo1,24
膝,xi1,24
贩,fan4,24
肤,fu1,24
碟,die2,24
晨,chen2,24
惑,"huo4,huo5",24
绮,qi3,24
描,miao2,24
絮,xu4,24
糟,zao1,24
腊,la4,24
笨,ben4,24
吾,wu2,24
铅,qian1,24
棱,leng2,24
戚,"qi5,qi1",24
哲,zhe2,24
侯,hou2,24
禽,qin2,24
喻,yu4,24
盒,he2,24
悦,yue4,24
癌,ai2,24
痕,hen2,24
哪,na3,24
葱,cong1,24
璃,li5,24
榆,yu2,24
歇,xie1,24
涡,wo1,24
遂,sui4,24
遥,yao2,24
遵,zun1,24
霞,xia2,24
裙,qun2,24
械,xie4,24
卒,zu2,24
迦,jia1,24
颓,tui2,24
宪,xian4,24
遮,zhe1,24
扭,"niu3,niu5",24
们,men5,24
牡,mu3,24
偿,chang2,24
槽,cao2,24
菩,pu2,23
殊,shu1,23
芽,ya2,23
晓,xiao3,23
撤,che4,23
翔,xiang2,23
劣,lie4,23
碧,bi4,23
塑,su4,23
肢,zhi1,23
堪,kan1,23
硝,xiao1,23
葫,hu2,23
瞎,xia1,23
锥,zhui1,23
兔,tu4,23
狄,di2,23
竭,jie2,23
姜,jiang1,23
侠,xia2,23
酯,zhi3,23
扇,shan4,23
侦,zhen1,23
诛,zhu1,23
冥,ming2,23
簧,huang2,23
也,ye3,23
契,qi4,23
嫁,jia4,23
弊,bi4,23
恬,tian2,23
贱,jian4,23
赔,pei2,23
俊,jun4,23
仲,zhong4,23
椅,yi3,23
雁,yan4,23
涌,"yong3,chong1",23
阜,fu4,23
钓,diao4,23
沫,mo4,23
靡,mi3,23
巫,wu1,23
驰,chi2,23
驴,lu:2,23
焚,fen2,23
姨,yi2,23
扳,ban1,23
贞,zhen1,23
拒,ju4,23
匮,gui4,23
乏,fa2,22
伞,san3,22
枣,zao3,22
挺,ting3,22
捧,peng3,22
漆,qi1,22
缀,zhui4,22
乃,nai3,22
垣,yuan2,22
晒,shai4,22
罩,zhao4,22
俯,fu3,22
敛,lian3,22
罢,ba4,22
忆,yi4,22
掩,yan3,22
粪,fen4,22
锐,rui4,22
筵,yan2,22
栖,qi1,22
予,yu3,22
扒,ba1,22
疲,pi2,22
泼,po1,22
戎,rong2,22
阑,lan2,22
瘦,shou4,22
惜,xi1,22
掖,"ye4,ye1",22
榴,liu5,22
僵,jiang1,22
却,que4,22
疹,zhen3,22
暮,mu4,22
庞,pang2,22
襄,xiang1,22
烘,hong1,22
颤,chan4,22
洒,sa3,22
澄,deng4,22
灶,zao4,22
崖,ya2,22
淮,huai2,22
硕,shuo4,22
酷,ku4,22
窦,dou4,22
伍,wu3,22
稻,dao4,22
氰,qing2,22
谊,yi4,21
篮,lan2,21
潘,pan1,21
奢,she1,21
吧,ba1,21
绒,rong2,21
暑,shu3,21
眷,juan4,21
芥,jie4,21
聊,liao2,21
闸,zha2,21
赌,du3,21
胀,zhang4,21
衫,shan1,21
佬,lao3,21
坠,zhui4,21
酪,lao4,21
渐,jian4,21
竖,shu4,21
慰,wei4,21
慎,shen4,21
厄,e4,21
喘,chuan3,21
嫩,nen4,21
橡,xiang4,21
哨,shao4,21
厘,li2,21
兆,zhao4,21
瑶,yao2,21
媚,mei4,21
魄,po4,21
熔,rong2,21
愈,yu4,21
蹄,ti2,21
烷,wan2,21
迂,yu1,21
沈,shen3,21
咕,"gu1,gu5",21
帆,fan1,21
雍,yong1,21
否,fou3,21
筑,zhu4,21
婴,ying1,21
噪,zao4,21
辨,bian4,21
蝶,die2,21
廊,lang2,21
凑,cou4,21
戊,wu4,21
薯,shu3,20
挽,wan3,20
绍,shao4,20
摘,zhai1,20
劈,pi1,20
胖,pang4,20
堵,du3,20
旱,han4,20
茹,ru2,20
绩,ji4,20
渣,zha1,20
橙,cheng2,20
疆,jiang1,20
疮,chuang1,20
煮,zhu3,20
荐,jian4,20
涵,han2,20
卸,xie4,20
狭,xia2,20
恰,qia4,20
恤,xu4,20
汀,ting1,20
廷,ting2,20
谎,huang3,20
甩,shuai3,20
仆,pu2,20
盾,dun4,20
惧,ju4,20
殿,dian4,20
慧,hui4,20
鄂,e4,20
吕,lu:3,20
雌,ci2,20
袒,tan3,20
锤,chui2,20
梗,geng3,20
竿,gan1,20
桶,tong3,20
饥,ji1,20
叮,ding1,20
汪,wang1,20
宰,zai3,20
宠,chong3,20
丛,cong2,20
赠,zeng4,20
栓,shuan1,20
驯,xun4,20
拥,yong1,19
虞,yu2,19
捉,zhuo1,19
凿,zao2,19
蔡,cai4,19
札,zha2,19
菇,gu1,19
岔,cha4,19
绞,jiao3,19
剩,sheng4,19
赘,zhui4,19
塌,ta1,19
臀,tun2,19
聪,cong1,19
旨,zhi3,19
稽,ji1,19
璧,bi4,19
朔,shuo4,19
谬,miu4,19
弧,hu2,19
株,zhu1,19
冶,ye3,19
询,xun2,19
疯,feng1,19
蒜,suan4,19
恢,hui1,19
蔽,bi4,19
棚,peng2,19
呢,ni2,19
乞,qi3,19
皂,zao4,19
榜,bang3,19
辟,pi4,19
厦,sha4,19
琳,lin2,19
惩,cheng2,19
煎,jian1,19
氟,fu2,19
饿,e4,19
迭,die2,19
尉,wei4,19
逻,luo2,19
酥,su1,19
烛,zhu2,19
吓,xia4,19
龈,yin2,19
吨,dun1,19
钳,qian2,19
锣,luo2,19
泻,xie4,19
祁,qi2,19
轩,xuan1,19
寂,ji4,19
或,huo4,19
鲸,jing1,19
笃,du3,19
翠,cui4,19
藻,zao3,18
椰,ye1,18
侍,shi4,18
杏,xing4,18
枉,wang3,18
蹦,beng4,18
蓉,rong2,18
涕,ti4,18
驶,shi3,18
绣,xiu4,18
垢,gou4,18
撑,cheng1,18
芒,mang2,18
既,ji4,18
敷,fu1,18
膀,bang3,18
辍,chuo4,18
蛮,man2,18
但,dan4,18
缴,jiao3,18
孽,nie4,18
峨,e2,18
掘,jue2,18
渺,miao3,18
怜,lian2,18
箔,bo2,18
柘,zhe4,18
魁,kui2,18
渗,shen4,18
溃,kui4,18
祷,dao3,18
衬,chen4,18
婉,wan3,18
涯,ya2,18
猜,cai1,18
悉,xi1,18
麟,lin2,18
喊,han3,18
怖,bu4,18
孑,jie2,18
哗,hua2,18
贬,bian3,18
彰,zhang1,18
庐,lu2,18
袜,wa4,18
睛,jing1,18
逝,shi4,18
遣,qian3,18
郊,jiao1,18
顽,wan2,18
陋,lou4,18
闺,gui1,18
添,tian1,18
渭,wei4,18
阀,fa2,18
涩,se4,18
尝,chang2,18
胚,pei1,18
蹑,nie4,18
殷,yan1,18
昧,mei4,18
藉,jie4,17
箧,qie4,17
蕴,yun4,17
粥,zhou1,17
刨,bao4,17
携,xie2,17
葵,kui2,17
暂,zan4,17
晃,"huang3,huang4",17
茬,cha2,17
芭,ba1,17
腕,wan4,17
斩,zhan3,17
肖,xiao4,17
舵,duo4,17
乾,qian2,17
刹,"cha4,sha1",17
斧,fu3,17
缆,lan3,17
纠,jiu1,17
寝,qin3,17
朵,duo3,17
辙,zhe2,17
奎,kui2,17
谦,qian1,17
杉,shan1,17
怎,zen3,17
厕,ce4,17
谓,wei4,17
蜀,shu3,17
稍,shao1,17
董,dong3,17
隙,xi4,17
榄,lan3,17
皱,zhou4,17
恍,huang3,17
些,xie1,17
怯,qie4,17
橘,ju2,17
瓮,weng4,17
啤,pi2,17
浊,zhuo2,17
眩,xuan4,17
宙,zhou4,17
躬,gong1,17
愣,leng4,17
驼,tuo5,17
焉,yan1,17
烫,tang4,17
寮,liao2,17
傍,bang4,17
顷,qing3,17
屑,xie4,17
屡,lu:3,17
吟,yin2,17
勘,kan1,17
淘,tao2,17
钾,jia3,17
钙,gai4,17
铭,ming2,17
呈,cheng2,17
颂,song4,17
帅,shuai4,17
姬,ji1,17
躁,zao4,17
蹈,dao3,17
熙,xi1,17
蠢,chun3,17
厨,chu2,17
僧,seng1,17
蚊,wen2,17
蕾,lei3,16
睹,du3,16
杭,hang2,16
掠,lu:e4,16
握,wo4,16
纬,wei3,16
够,gou4,16
揽,lan3,16
绑,bang3,16
绷,"beng1,beng3",16
摔,"shuai1,shuai3",16
苟,gou3,16
佐,zuo3,16
脆,cui4,16
佣,yong1,16
肋,lei4,16
艰,jian1,16
衷,zhong1,16
壤,rang3,16
夯,hang1,16
捣,dao3,16
捞,lao1,16
枢,shu1,16
藩,fan1,16
窟,ku1,16
抖,dou3,16
栽,zai1,16
秒,miao3,16
娄,lou2,16
衔,xian2,16
碌,lu4,16
讼,song4,16
狸,li2,16
淀,dian4,16
榛,zhen1,16
癖,pi3,16
鳞,lin2,16
欣,xin1,16
琉,liu2,16
歧,qi2,16
哇,wa1,16
卯,mao3,16
睦,mu4,16
襟,jin1,16
汛,xun4,16
慌,huang1,16
颐,yi2,16
濯,zhuo2,16
砌,qi4,16
醛,quan2,16
霄,xiao1,16
溢,yi4,16
崎,qi2,16
铲,chan3,16
渴,ke3,16
袁,yuan2,16
嘟,du1,16
呵,he1,16
邵,shao4,16
酰,xian1,16
巷,xiang4,16
倡,chang4,16
遭,zao1,16
窥,kui1,16
笛,di2,16
梵,fan4,16
虐,nu:e4,15
妓,ji4,15
雏,chu2,15
篡,cuan4,15
杳,yao3,15
杖,zhang4,15
蛾,e2,15
蛛,zhu1,15
勋,xun1,15
荔,li4,15
茎,jing1,15
苑,yuan4,15
芯,xin1,15
肾,shen4,15
腻,ni4,15
穗,sui4,15
芋,yu4,15
斤,jin1,15
澡,zao3,15
缉,ji1,15
荫,yin4,15
搏,bo2,15
莓,mei2,15
绘,hui4,15
搅,jiao3,15
伶,ling2,15
瓷,ci2,15
甄,zhen1,15
糠,kang1,15
兑,dui4,15
蔓,man4,15
庇,bi4,15
挠,nao2,15
妮,ni1,15
窜,cuan4,15
蛤,"ha2,ge2",15
猿,yuan2,15
扮,ban4,15
秤,cheng4,15
秉,bing3,15
梭,suo1,15
裹,guo3,15
嗜,shi4,15
悍,han4,15
卿,qing1,15
壑,he4,15
诏,zhao4,15
怡,yi2,15
谜,mi2,15
瓣,ban4,15
厢,xiang1,15
琅,lang2,15
珊,shan1,15
彪,biao1,15
赋,fu4,15
惶,huang2,15
哺,bu4,15
桓,huan2,15
泗,si4,15
酿,niang4,15
噜,"lu5,lu1",15
隽,"juan4,jun4",15
浸,jin4,15
乖,guai1,15
铸,zhu4,15
袍,pao2,15
涧,jian4,15
邓,deng4,15
沐,mu4,15
蝉,chan2,15
蜗,wo1,15
谏,jian4,15
该,gai1,15
哩,"li5,li1",15
槛,kan3,15
黔,qian2,15
媳,xi2,15
蚁,yi3,15
柠,ning2,14
圾,ji1,14
匀,yun2,14
缸,gang1,14
晴,qing2,14
苹,ping2,14
撇,pie1,14
苔,tai2,14
芸,yun2,14
羡,xian4,14
昔,xi1,14
陇,long3,14
脖,bo2,14
胄,zhou4,14
芙,fu2,14
昼,zhou4,14
芹,qin2,14
吻,wen3,14
铀,you2,14
墩,dun1,14
腮,sai1,14
剿,jiao3,14
绽,zhan4,14
荧,ying2,14
垃,la1,14
纺,fang3,14
坟,fen2,14
捏,nie1,14
蔚,wei4,14
匙,shi5,14
毅,yi4,14
虹,hong2,14
虽,sui1,14
笞,chi1,14
诵,song4,14
铝,lu:3,14
蛙,wa1,14
姥,"lao3,lao5,mu3",14
秃,tu1,14
禾,he2,14
疼,teng2,14
侨,qiao2,14
礁,jiao1,14
悄,qiao1,14
砸,za2,14
僻,pi4,14
瞻,zhan1,14
讷,ne4,14
瞬,shun4,14
觑,qu4,14
盼,pan4,14
嗔,chen1,14
嗓,sang3,14
瘾,yin3,14
橄,gan3,14
甫,fu3,14
牟,mou2,14
彬,bin1,14
玲,ling2,14
唤,huan4,14
宵,xiao1,14
卦,gua4,14
矛,mao2,14
沸,fei4,14
咒,zhou4,14
倦,juan4,14
靴,xue1,14
浣,huan4,14
屿,yu3,14
陕,shan3,14
闯,chuang3,14
沦,lun2,14
镰,lian2,14
渝,yu2,14
冕,mian3,14
峻,jun4,14
泌,bi4,14
吵,chao3,14
灼,zhuo2,14
帘,lian2,14
涎,xian2,14
霎,sha4,14
梓,zi3,14
泸,lu2,14
泣,qi4,14
馅,xian4,14
驮,tuo2,14
骄,jiao1,14
毙,bi4,14
稚,zhi4,14
鹉,wu3,14
窍,qiao4,14
窑,yao2,14
鹦,ying1,14
拌,ban4,14
妃,fei1,13
凳,deng4,13
姚,yao2,13
萎,wei3,13
侗,dong4,13
揪,jiu1,13
丫,ya1,13
搁,"ge1,ge5",13
缅,mian3,13
杞,qi3,13
茴,hui2,13
勿,wu4,13
罄,qing4,13
晦,hui4,13
闽,min3,13
吁,"xu1,yu4",13
耿,geng3,13
舆,yu2,13
胁,xie2,13
敞,chang3,13
惟,wei2,13
腌,yan1,13
斐,fei3,13
羌,qiang1,13
勉,mian3,13
豚,tun2,13
堰,yan4,13
鸦,ya1,13
募,mu4,13
萤,ying2,13
蕉,jiao1,13
篷,peng2,13
篱,li2,13
拦,lan2,13
拢,long3,13
蚌,bang4,13
抬,tai2,13
嚼,jiao2,13
碾,nian3,13
础,chu3,13
讳,hui4,13
嗣,si4,13
鼬,you4,13
恼,nao3,13
痰,tan2,13
狠,hen3,13
疱,pao4,13
啼,ti2,13
啰,luo1,13
瑰,gui1,13
仅,jin3,13
琐,suo3,13
贻,yi2,13
赐,ci4,13
棺,guan1,13
亿,yi4,13
毯,tan3,13
蹲,"dun1,dun4",13
骇,hai4,13
焊,han4,13
寇,kou4,13
烃,ting1,13
叭,ba5,13
叱,chi4,13
沪,hu4,13
沽,gu1,13
馋,chan2,13
吏,li4,13
砍,kan3,13
霭,ai3,13
漳,zhang1,13
崔,cui1,13
嘶,si1,13
雇,gu4,13
饲,si4,13
汶,wen4,13
咧,"lie1,lie3",13
禹,yu3,13
焰,yan4,13
跋,ba2,13
跂,"qi2,zhi1",13
叩,kou4,13
歹,dai3,13
庚,geng1,13
赎,shu2,13
姊,zi3,13
鹏,peng2,13
诡,gui3,13
挫,cuo4,12
刁,diao1,12
涓,juan1,12
萌,meng2,12
蕊,rui3,12
绦,tao1,12
绰,chuo4,12
匆,cong1,12
茸,rong2,12
缕,lu:3,12
侄,zhi2,12
缚,fu4,12
缎,duan4,12
缪,"miao4,mou2,mu4,miu4",12
苛,ke1,12
荤,hun1,12
羹,geng1,12
胳,ge1,12
膊,bo2,12
腱,jian4,12
脓,nong2,12
堤,di1,12
贮,zhu4,12
肪,fang2,12
肆,si4,12
耦,ou3,12
苷,gan1,12
垦,ken3,12
绸,chou2,12
纶,lun2,12
瓢,piao2,12
朽,xiu3,12
粹,cui4,12
刃,ren4,12
奠,dian4,12
簇,cu4,12
薛,xue1,12
挟,xie2,12
挚,zhi4,12
熬,ao2,12
筛,shai1,12
竺,zhu2,12
诬,wu1,12
戌,xu1,12
棘,ji2,12
痹,bi4,12
钞,chao1,12
喧,xuan1,12
盂,yu2,12
猩,"xing1,xing5",12
亦,yi4,12
鸽,ge1,12
谣,yao2,12
寓,yu4,12
檬,meng2,12
亵,xie4,12
唾,tuo4,12
彦,yan4,12
赣,gan4,12
趁,chen4,12
燥,zao4,12
跪,gui4,12
踩,cai3,12
沂,yi2,12
咯,ge1,12
烽,feng1,12
汝,ru3,12
邱,qiu1,12
颖,ying3,12
巩,gong3,12
靶,ba3,12
巍,wei1,12
靛,dian4,12
隶,li4,12
裔,yi4,12
钥,yao4,12
峦,luan2,12
傅,fu4,12
梧,wu2,12
倪,ni2,12
蟠,pan2,12
颍,ying3,12
沛,pei4,12
倚,yi3,12
轿,jiao4,12
侣,lu:3,12
酉,you3,12
宛,wan3,12
宕,dang4,12
鲍,bao4,12
蠲,juan1,12
鳖,bie1,12
豁,huo4,12
谁,shei2,12
哼,heng1,12
骤,zhou4,11
枚,mei2,11
蹀,die2,11
呫,tie4,11
曜,yao4,11
绊,ban4,11
勺,shao2,11
窄,zhai3,11
擅,shan4,11
耙,pa2,11
阎,yan2,11
脾,pi2,11
溺,ni4,11
脐,qi2,11
敝,bi4,11
肘,zhou3,11
聋,long2,11
剃,ti4,11
撰,zhuan4,11
励,li4,11
撩,"liao2,liao1",11
羯,jie2,11
羚,ling2,11
羁,ji1,11
暇,xia2,11
犀,xi1,11
夙,su4,11
揉,rou2,11
侃,kan3,11
糯,nuo4,11
粟,su4,11
蔻,kou4,11
乍,zha4,11
挹,yi4,11
拣,jian3,11
拚,pin1,11
拗,ao4,11
拇,"mu3,mu5",11
栅,zha4,11
扼,e4,11
蜥,xi1,11
钵,bo1,11
祛,qu1,11
冯,feng2,11
娶,qu3,11
懈,xie4,11
慨,kai3,11
瘫,tan1,11
楠,nan2,11
觅,mi4,11
嗡,weng1,11
眄,mian3,11
俏,qiao4,11
皓,hao4,11
嫂,sao3,11
悖,bei4,11
槐,huai2,11
詹,zhan1,11
痘,dou4,11
疽,ju1,11
怠,dai4,11
鹃,juan1,11
檀,tan2,11
忿,fen4,11
谨,jin3,11
亥,hai4,11
兀,wu4,11
瑙,nao3,11
瑕,xia2,11
厮,si1,11
爸,ba4,11
鲨,sha1,11
鲤,li3,11
惺,xing1,11
跷,qiao1,11
宦,huan4,11
瞒,man2,11
寅,yin2,11
叨,dao1,11
褶,zhe3,11
辖,xia2,11
迅,xun4,11
炳,bing3,11
褒,bao1,11
亢,kang4,11
隋,sui2,11
叽,"ji1,ji5",11
颚,e4,11
届,jie4,11
鞘,qiao4,11
颁,ban1,11
咄,duo1,11
澜,lan2,11
呱,gua1,11
淤,yu1,11
崭,zhan3,11
嘘,xu1,11
铛,cheng1,11
湛,zhan4,11
傣,dai3,11
淳,chun2,11
陡,dou3,11
釜,fu3,11
洱,er3,11
鞍,an1,11
濒,bin1,11
泵,beng4,11
颔,han4,11
娅,ya4,11
祈,qi2,11
戛,jia2,11
沼,zhao3,11
桩,zhuang1,11
汾,fen2,11
辫,bian4,11
螂,lang2,11
咱,"zan2,zan5",11
姻,yin1,11
哉,zai1,11
稣,su1,11
蜘,zhi1,11
貂,diao1,11
穹,qiong2,11
牲,sheng1,11
豫,yu4,11
廓,kuo4,11
讹,e2,11
蚂,ma3,11
虏,lu3,10
娱,yu2,10
捶,chui2,10
掰,bai1,10
某,mou3,10
蒿,hao1,10
茧,jian3,10
菱,ling2,10
莽,mang3,10
擒,qin2,10
耄,mao4,10
埠,bu4,10
苞,bao1,10
肽,tai4,10
舅,"jiu4,jiu5",10
腋,ye4,10
脯,pu2,10
臆,yi4,10
敖,ao2,10
赃,zang1,10
剌,"la4,la2",10
翩,pian1,10
晏,yan4,10
撕,si1,10
瑜,yu2,10
晤,wu4,10
赦,she4,10
檐,yan2,10
奕,yi4,10
掀,xian1,10
粤,yue4,10
蔑,mie4,10
圭,gui1,10
篆,zhuan4,10
匝,za1,10
嬉,xi1,10
虱,shi1,10
笙,sheng1,10
